,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,143,997,1457,313,6925,5884,1547,7626,6380,9146,3799,9316,873,6189,5525,6697,4512,9964,2561,6964,7845,1308,726,4370,3884,8874,8266,6840,2132,8020,9697,1113,8559,4612,9238,7715,6874,1117,5485,2979,2132,3922,2628,363,1458,5526,7651,1116,8905,6672,490,9357,5253,5541,2632,5938,9782,4409,4661,10164,6205,5536,3848,1003,3056,9302,1220,9074,5419,5448,7966,2619,674,6975,4341,8446,7473,7001,906,1356,6272,8782,8523,1447,1586,8207,407,7952,8935,2176,1054,3317,4246,9277,8318,7184
1,4292,1796,5294,5986,6321,2364,5856,10318,9933,5727,8333,7818,10235,5623,702,3146,8612,9979,8573,7156,844,7048,4562,2882,9706,7106,3246,7180,7657,1374,9149,9050,3711,3816,4024,713,6356,4706,2520,1248,8037,6757,2866,5994,9968,8269,769,5698,9486,5215,7196,3796,379,9515,1933,4678,9857,59,1348,3725,3516,6907,9832,7084,9052,2622,5244,5009,7412,7734,6969,2530,7129,294,11,4697,4913,1862,5410,4948,982,9698,1598,4204,774,2037,5186,8031,374,5842,8108,1791,9216,3137,2132,702
2,1637,3402,232,6827,7556,6553,6087,1867,3154,2584,3548,4830,3629,7509,6419,1544,1841,8039,202,8635,5952,7682,7903,1228,8482,907,2843,5058,3943,4876,9607,5709,3808,9043,4948,10200,5466,5239,9777,940,6937,5319,8668,7176,4336,945,2037,272,4145,3435,9169,215,563,6738,7160,1346,1879,5823,3946,2371,2068,8334,4970,8148,4228,7560,3126,5972,10340,5085,6050,48,2542,9847,1280,9304,7395,5001,4700,9693,3691,2464,4824,2043,8437,7145,7073,2136,18,850,9704,2018,1262,1942,10066,963
3,1602,8067,7557,3665,537,738,4644,9809,2825,3464,6999,615,9285,743,2854,4032,2150,4343,3900,1846,5680,9609,7176,1813,10317,7771,2044,7123,9664,6516,8810,6669,4635,2705,4968,6404,7203,2970,8603,3567,5246,5797,6970,2198,2586,4560,7422,9047,493,929,3381,8467,5022,8292,8130,3286,4450,8493,1516,989,9788,2523,9903,4756,2273,7401,1224,1541,2041,5047,5257,4198,10156,6659,6011,6248,3215,7285,6213,646,9115,8856,4363,1710,769,1109,3772,5315,2865,6740,9694,6517,4723,172,9913,3097
4,7827,8019,4606,4331,6810,136,530,371,8218,5753,4011,6888,7375,1890,5524,8705,3082,6936,1243,6940,9109,1360,2239,875,6165,1982,6989,6145,66,9437,3736,1520,4983,5174,2592,3052,1247,5250,2612,3003,1773,1702,9837,2781,9956,10264,7585,2717,2964,10315,68,8378,5564,7868,9741,2876,5950,7425,8397,7314,5452,5237,2532,4593,4719,9415,6939,8646,3029,3342,9513,6294,2893,1290,6514,5141,584,8094,5908,4084,3524,8868,4159,3603,3334,6856,8574,2005,8023,5238,2436,5727,2,4422,5827,2367
5,44,2473,3731,9290,1503,8117,9646,7358,7281,3232,2812,3805,3047,3188,5263,6470,6740,2873,5095,279,4916,4402,9726,8624,2039,2829,5508,10232,922,8218,7528,5413,1810,6256,8667,7497,8987,2701,3439,4555,7910,4690,6380,2077,1698,4515,1063,4922,2064,8972,3568,8645,7735,5027,3519,460,9448,1561,1438,9015,5800,3562,2808,2644,5716,1658,253,4088,1756,2655,6236,1007,8032,8368,7478,2460,6070,5220,9104,2294,4608,6941,6386,6851,2420,2419,4386,8550,6896,10223,6872,326,9342,2446,1507,6429
6,4270,5380,8609,1756,1381,8381,8892,2807,8405,7400,5612,2747,6538,3413,7238,3699,9249,2429,4041,7037,4405,2264,4305,263,3152,5680,5263,6164,6323,4173,8866,2442,4946,914,3975,2416,3015,4742,3364,4137,2351,10114,6219,260,3447,9276,10086,4407,10340,5730,9974,10040,10165,4634,2871,1220,6975,8428,2344,2202,5842,7747,1993,3282,3405,3609,2172,3185,2621,7975,4985,1359,7872,6923,10118,3581,2616,8016,719,354,6413,409,2238,4535,541,5194,139,4903,4598,6194,8100,345,7249,95,8856,4382
7,2433,6762,68,3267,6561,5264,4361,130,9526,1028,121,1051,927,8017,1986,3787,4866,8549,9829,5138,2912,4016,2380,7766,472,8803,926,5904,4074,8875,396,3166,6970,7612,126,3022,7697,2718,7936,7772,4683,2710,10053,6720,5603,8629,9997,3696,2710,3720,1939,3288,7696,159,8521,785,6868,907,9780,2770,5544,10274,5927,1921,4212,3024,4576,3504,6245,8230,8737,7440,8588,1492,2392,262,6581,10233,4427,211,6147,5209,3072,7679,3200,4282,7977,1333,4289,2888,820,5197,5352,10143,7576,9360
8,10348,9951,6727,9642,3786,10227,269,5480,360,5139,4514,2431,7033,9398,5799,590,7995,3037,1302,2623,4319,8679,6108,2652,6936,916,6981,8436,3088,9146,8852,7650,79,1218,212,1989,3407,9900,3558,4120,5805,8101,647,4633,4329,6044,2512,5577,3061,1658,2974,10382,10088,7509,4214,1413,6503,3148,2562,4872,9338,6643,4001,1386,5409,7221,3890,2417,573,9422,3592,3078,10227,6565,5592,8432,4082,5392,3475,3674,25,8589,9435,9929,1989,8619,5906,2139,6562,10122,6133,7182,5588,2583,9407,3080
9,7959,5303,8995,1357,3230,9433,2641,3036,3072,945,8019,782,2771,9708,3096,5929,869,3071,5907,569,4727,4129,2129,5257,1134,4725,2271,5645,4762,4311,2178,2816,161,6240,1627,9663,7174,711,931,6380,8217,6377,2691,2866,302,10000,9417,5591,9275,4974,6511,2692,3807,9885,1391,4750,1779,497,1865,6223,9063,6268,2404,5633,8682,3055,4843,4556,6704,975,3602,5568,892,1907,5780,1509,9854,376,1145,3139,957,9947,8211,1309,9030,312,6525,184,5574,3348,7254,9995,7671,572,2275,4681
10,2489,2744,8775,776,1314,1259,7965,2827,4504,868,4116,8227,8569,6506,9476,4249,5101,8842,5104,1414,8726,7134,7701,8364,1876,1292,1220,9546,4824,5340,4828,3768,4847,7032,7350,9083,1101,8416,5170,5119,2531,664,9682,3838,2510,2108,10299,8821,2273,7319,5296,9324,4991,4054,5277,2900,10014,224,7835,2257,2835,1262,6107,2539,6994,1458,1738,3203,8291,8131,9970,3199,5490,7709,7591,488,4623,9752,10363,7681,3134,9497,1660,218,2152,8326,6646,8257,1362,9325,3709,281,7266,5400,5526,2694
11,7252,5443,8379,5914,1611,5076,3529,4347,1605,8999,2592,5362,3738,5721,9427,3773,2357,3699,4275,5785,629,6215,3692,3916,3655,5524,5001,10114,2191,10388,4733,8683,2579,3753,7415,1340,2470,7066,9327,2701,9458,6504,2553,3106,2516,6623,10292,4480,1322,7585,2901,4936,4591,6496,5041,8624,3379,6406,9554,6406,3259,2993,7584,7654,8994,5947,4883,2040,3134,2171,8108,6804,5458,10169,6195,7610,5182,9845,573,6825,9795,9437,3332,3475,8380,10300,7847,4931,3302,912,5385,7661,9826,7304,6407,2020
12,6390,118,2217,2742,5284,6106,1310,8991,6582,1176,3296,3519,1115,10072,7702,5676,2394,5915,1568,10363,5505,4500,2208,5752,5311,9525,8327,8290,670,233,3580,7528,2784,8341,9556,5608,2839,8934,6417,434,2675,961,4611,408,7584,9917,5832,1711,9690,5106,9489,283,1665,5271,6871,6842,6245,9477,2260,6669,8896,2476,4106,5561,257,104,10261,9201,1015,9062,626,261,1091,3127,5723,10053,10285,4589,3212,6635,9093,7121,2179,2051,1908,3551,6489,7400,9908,3703,4088,7631,542,1636,1224,8350
13,7337,8068,5575,4405,2616,5488,7852,1161,6061,4425,5599,4428,7356,3110,2284,6875,1682,6906,8972,7522,4715,7959,8906,9611,6612,8977,334,4079,8577,6993,7429,9649,4325,2087,8345,9408,8920,5283,1109,3728,8637,3812,7253,1248,3830,6842,8076,3422,5198,3350,481,7745,593,9754,5883,972,5646,2125,9122,1150,2703,7592,7256,6341,8840,377,3663,7448,6633,2672,4921,3410,242,1962,9230,707,8172,2414,8882,4639,6167,9539,8118,9752,177,8288,5463,2768,8933,6322,818,5948,6018,8638,5323,5462
14,7556,9217,7536,1039,7601,1155,4244,2386,6281,1536,1633,4442,3430,6170,3909,3744,8878,125,5210,2039,3775,502,3848,3043,4261,8207,3745,2649,5476,7153,7003,10068,10126,9786,3996,1279,4345,8291,7775,2359,770,7572,8596,8068,6506,7433,260,3265,5369,3321,4480,9282,9294,9887,6683,10077,715,5474,1057,4915,857,995,8055,7803,3730,8795,5140,5776,659,2640,6624,3671,1123,10359,463,4895,395,25,6317,1927,8786,7900,1937,6277,5448,5334,3423,8437,9814,3994,1387,1753,3222,6893,5971,10152
15,3380,8239,8792,3521,1198,2103,6302,9910,7924,1619,7216,4978,199,4940,4730,1932,2231,8845,3140,5970,8420,7446,8852,9071,844,9995,4246,7157,4017,5848,9341,4007,2793,5700,2204,2049,8124,7918,8421,8018,5644,4452,1173,9646,6072,10270,8582,85,2953,6574,10042,3432,6180,5162,1571,3639,7792,7537,8445,3248,1786,7890,8054,10293,3691,8279,4882,283,3399,4102,2178,7569,370,2414,8303,5555,9889,2927,8514,5390,4153,3475,10131,10038,5806,7706,4815,6272,6516,1847,6786,8784,8407,6125,3404,754
16,8680,6890,65,7649,2060,10274,7138,9083,9964,7037,2204,1349,8286,2275,5040,8732,7600,4853,3342,3521,7224,8659,10024,10265,5911,4245,3900,5608,8649,983,5603,127,293,3776,6302,8725,2437,8451,2497,1489,6900,6216,4499,3625,10265,3954,6220,7507,5457,2571,111,1837,8048,3990,7816,6535,4163,6950,2058,7914,8657,8191,8830,8011,3096,5158,5659,7922,9177,6768,4066,20,5531,3746,8223,1518,5635,3347,4999,1143,6400,536,10075,5117,3215,4951,3336,9035,4848,823,7458,4113,6576,3789,2559,9565
17,5102,7593,10025,2577,1673,5294,7499,1368,4770,10377,464,3968,173,556,8486,2959,290,8878,3687,3467,4225,4807,9828,5480,4641,5881,4327,615,3590,6762,4937,6070,854,2494,5063,4573,524,6730,6477,6417,8727,4840,8483,5098,6817,5477,5736,6751,8471,3353,8340,9926,2537,9914,3067,4406,8653,4832,7984,9227,8603,7330,1594,2971,9747,8459,8413,9273,3175,5529,379,5178,2488,2621,5640,1157,3180,1783,5319,256,9849,1360,7232,8054,8198,7058,5598,4901,6106,8641,7147,8342,7230,6628,5027,4759
18,443,8735,9500,6172,7871,339,7702,1894,6200,9364,7344,3457,3718,2315,7535,4683,7832,4562,5726,7741,9726,5460,7612,8623,2263,5287,6896,8014,6884,9070,8652,18,7202,10320,3395,7595,4437,10009,9653,1087,8776,7501,2435,7071,7888,9533,780,2757,7774,8847,6027,7160,3720,1880,1509,3572,6393,8998,4300,8361,8044,137,9011,2068,1082,9769,865,2771,1846,1974,98,9595,9437,9249,343,1236,9696,9825,6178,3829,9943,9778,3964,7542,9107,1344,542,5872,7834,31,1345,8665,4818,1461,4902,519
