run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
82.0,10400.0,7375.0,2150.0,218.0,7300.0,0.0,49.0,94.0,0.0,0.0,1.5480769230769231,0.13518430404102655,2642.0,10400,7375,94,49,218,2150
10.0,10400.0,7439.0,2167.0,236.0,7320.0,0.0,41.0,91.0,0.0,0.0,1.5,0.13457537013306922,3015.0,10400,7439,91,41,236,2167
48.0,10400.0,7484.0,2226.0,236.0,7390.0,0.0,41.0,90.0,0.0,0.0,1.5480769230769231,0.1251435379700094,2780.0,10400,7484,90,41,236,2226
65.0,10400.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20000000000000004,61.0,10400,5,0,0,0,1
9.0,10400.0,7320.0,2154.0,205.0,7269.0,0.0,39.0,72.0,0.0,0.0,1.7980769230769231,0.13825691771949133,2745.0,10400,7320,72,39,205,2154
37.0,10400.0,7325.0,2150.0,216.0,7262.0,0.0,54.0,80.0,0.0,0.0,1.7307692307692308,0.13815624795196393,2536.0,10400,7325,80,54,216,2150
11.0,10400.0,7295.0,2099.0,258.0,7210.0,0.0,53.0,84.0,0.0,0.0,1.6346153846153846,0.14656745453236847,2843.0,10400,7295,84,53,258,2099
47.0,10400.0,7426.0,2148.0,234.0,7371.0,0.0,43.0,92.0,0.0,0.0,1.5480769230769231,0.14060031307982776,2624.0,10400,7426,92,43,234,2148
92.0,10400.0,7276.0,2132.0,233.0,7213.0,0.0,51.0,84.0,0.0,0.0,1.5769230769230769,0.137112756820637,2554.0,10400,7276,84,51,233,2132
78.0,10400.0,7412.0,2122.0,220.0,7332.0,0.0,41.0,94.0,0.0,0.0,1.5865384615384615,0.15495944741807272,2725.0,10400,7412,94,41,220,2122
66.0,10400.0,7461.0,2161.0,247.0,7369.0,0.0,45.0,100.0,0.0,0.0,1.6057692307692308,0.13828288511751707,2868.0,10400,7461,100,45,247,2161
1.0,10400.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400,4,0,0,0,0
73.0,10400.0,7384.0,2154.0,229.0,7300.0,0.0,48.0,92.0,0.0,0.0,1.4903846153846154,0.13526396089294232,2673.0,10400,7384,92,48,229,2154
51.0,10400.0,7250.0,2085.0,215.0,7192.0,0.0,46.0,78.0,0.0,0.0,1.7596153846153846,0.12560175716022023,2556.0,10400,7250,78,46,215,2085
80.0,10400.0,7517.0,2216.0,243.0,7439.0,0.0,46.0,93.0,0.0,0.0,1.6826923076923077,0.1498470860339081,2803.0,10400,7517,93,46,243,2216
0.0,10400.0,7289.0,2122.0,226.0,7213.0,0.0,55.0,98.0,0.0,0.0,1.4615384615384615,0.1345219989748595,2972.0,10400,7289,98,55,226,2122
6.0,10400.0,7284.0,2174.0,226.0,7217.0,0.0,47.0,81.0,0.0,0.0,1.7596153846153846,0.1396779558465011,2794.0,10400,7284,81,47,226,2174
68.0,10400.0,7184.0,2116.0,237.0,7137.0,0.0,41.0,90.0,0.0,0.0,1.8846153846153846,0.1504956289623093,2456.0,10400,7184,90,41,237,2116
56.0,10400.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.2421610524189263,343.0,10400,9,0,0,0,0
71.0,10400.0,7423.0,2175.0,214.0,7353.0,0.0,38.0,84.0,0.0,0.0,1.625,0.13401056382735788,2590.0,10400,7423,84,38,214,2175
7.0,10400.0,7354.0,2189.0,235.0,7279.0,0.0,46.0,92.0,0.0,0.0,1.4230769230769231,0.13846776187158993,2685.0,10400,7354,92,46,235,2189
29.0,10400.0,7296.0,2105.0,208.0,7213.0,0.0,51.0,88.0,0.0,0.0,1.6538461538461537,0.12280122219869563,2993.0,10400,7296,88,51,208,2105
60.0,10400.0,7293.0,2140.0,226.0,7231.0,0.0,49.0,92.0,0.0,0.0,1.5576923076923077,0.1378830959447063,2654.0,10400,7293,92,49,226,2140
85.0,10400.0,7424.0,2128.0,207.0,6819.0,0.0,30.0,89.0,0.0,0.0,1.4519230769230769,0.13926605847575843,3017.0,10400,7424,89,30,207,2128
53.0,10400.0,7410.0,2202.0,215.0,7356.0,0.0,45.0,88.0,0.0,0.0,1.7211538461538463,0.15058804994384764,2844.0,10400,7410,88,45,215,2202
