run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
50.0,10400.0,7347.0,2118.0,249.0,7266.0,0.0,54.0,103.0,0.0,0.0,1.5673076923076923,0.12430871063957803,2939.0,10400,7347,103,54,249,2118
87.0,10400.0,7556.0,2251.0,257.0,7463.0,0.0,63.0,99.0,0.0,0.0,1.4615384615384615,0.13312683881704654,2973.0,10400,7556,99,63,257,2251
5.0,10400.0,7438.0,2159.0,230.0,7385.0,0.0,50.0,94.0,0.0,0.0,1.5961538461538463,0.14234200179833761,2462.0,10400,7438,94,50,230,2159
90.0,10400.0,7320.0,2188.0,226.0,7255.0,0.0,47.0,86.0,0.0,0.0,1.6057692307692308,0.13624256612478383,2898.0,10400,7320,86,47,226,2188
43.0,10400.0,7464.0,2117.0,211.0,7421.0,0.0,38.0,63.0,0.0,0.0,1.8173076923076923,0.16153923948032733,2939.0,10400,7464,63,38,211,2117
1.0,10400.0,7474.0,2239.0,228.0,7408.0,0.0,44.0,98.0,0.0,0.0,1.5,0.12448549828412567,2791.0,10400,7474,98,44,228,2239
29.0,10400.0,7353.0,2185.0,235.0,7303.0,0.0,49.0,93.0,0.0,0.0,1.5673076923076923,0.12049532378455104,2512.0,10400,7353,93,49,235,2185
56.0,10400.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.210818510677892,154.0,10400,6,0,0,0,2
19.0,10400.0,7483.0,2155.0,242.0,7430.0,0.0,51.0,96.0,0.0,0.0,1.7596153846153846,0.16138357648153337,2268.0,10400,7483,96,51,242,2155
83.0,10400.0,7609.0,2240.0,237.0,7543.0,0.0,48.0,91.0,0.0,0.0,1.5673076923076923,0.14118644226037055,2874.0,10400,7609,91,48,237,2240
