run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
51.0,10400.0,7475.0,2176.0,234.0,7403.0,0.0,48.0,100.0,0.0,0.0,1.3942307692307692,0.12100082801021574,2586.0,10400,7475,100,48,234,2176
16.0,10400.0,7582.0,2196.0,240.0,7490.0,0.0,54.0,111.0,0.0,0.0,1.3076923076923077,0.12379133581927868,2789.0,10400,7582,111,54,240,2196
22.0,10400.0,22.0,6.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.2042446080014796,543.0,10400,22,0,0,1,6
47.0,10400.0,7397.0,2078.0,200.0,7326.0,0.0,45.0,89.0,0.0,0.0,1.3076923076923077,0.14784796999768127,2976.0,10400,7397,89,45,200,2078
35.0,10400.0,7544.0,2219.0,245.0,7466.0,0.0,52.0,101.0,0.0,0.0,1.2403846153846154,0.1285403726121851,2788.0,10400,7544,101,52,245,2219
57.0,10400.0,7387.0,2190.0,203.0,7300.0,0.0,43.0,84.0,0.0,0.0,1.4326923076923077,0.12203497879180387,2827.0,10400,7387,84,43,203,2190
80.0,10400.0,7546.0,2252.0,252.0,7394.0,0.0,58.0,97.0,0.0,0.0,1.5673076923076923,0.16383452591388356,2955.0,10400,7546,97,58,252,2252
37.0,10400.0,7316.0,2200.0,261.0,7211.0,0.0,45.0,105.0,0.0,0.0,1.3557692307692308,0.12884726850698838,2702.0,10400,7316,105,45,261,2200
0.0,10400.0,27.0,8.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.8518518518518519,0.19024428518286668,663.0,10400,27,0,0,1,8
45.0,10400.0,7489.0,2191.0,214.0,7412.0,0.0,46.0,70.0,0.0,0.0,1.5865384615384615,0.1430559572117791,2650.0,10400,7489,70,46,214,2191
60.0,10400.0,7382.0,2186.0,229.0,7327.0,0.0,52.0,83.0,0.0,0.0,1.5865384615384615,0.13430496054784777,2528.0,10400,7382,83,52,229,2186
42.0,10400.0,7535.0,2205.0,207.0,7473.0,0.0,51.0,89.0,0.0,0.0,1.4807692307692308,0.14264437495225937,2840.0,10400,7535,89,51,207,2205
95.0,10400.0,7288.0,2141.0,229.0,7225.0,0.0,53.0,93.0,0.0,0.0,1.5480769230769231,0.1533055053997337,2913.0,10400,7288,93,53,229,2141
39.0,10400.0,7432.0,2126.0,205.0,7389.0,0.0,39.0,92.0,0.0,0.0,1.4519230769230769,0.15691659239922476,2438.0,10400,7432,92,39,205,2126
28.0,10400.0,7433.0,2196.0,250.0,7219.0,0.0,51.0,101.0,0.0,0.0,1.5576923076923077,0.14769003218934137,3019.0,10400,7433,101,51,250,2196
9.0,10400.0,7411.0,2179.0,221.0,7354.0,0.0,46.0,86.0,0.0,0.0,1.5096153846153846,0.13595236523809925,2641.0,10400,7411,86,46,221,2179
70.0,10400.0,7469.0,2162.0,262.0,7396.0,0.0,70.0,107.0,0.0,0.0,1.3846153846153846,0.15234517986769183,2438.0,10400,7469,107,70,262,2162
