run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
46.0,10400.0,185.0,54.0,10.0,182.0,0.0,3.0,3.0,0.0,0.0,1.4519230769230769,0.13993477602354415,783.0,10400,185,3,3,10,54
31.0,10400.0,198.0,56.0,4.0,197.0,0.0,1.0,2.0,0.0,0.0,1.4615384615384615,0.13862325631909223,773.0,10400,198,2,1,4,56
1.0,10400.0,7319.0,2085.0,190.0,5823.0,0.0,20.0,72.0,0.0,0.0,1.7788461538461537,0.14965527401268416,3021.0,10400,7319,72,20,190,2085
0.0,10400.0,180.0,58.0,4.0,180.0,0.0,0.0,1.0,0.0,0.0,1.5288461538461537,0.13174075151746578,742.0,10400,180,1,0,4,58
32.0,10400.0,142.0,41.0,3.0,141.0,0.0,1.0,2.0,0.0,0.0,1.2403846153846154,0.12998476982343576,728.0,10400,142,2,1,3,41
44.0,10400.0,312.0,83.0,9.0,311.0,0.0,1.0,2.0,0.0,0.0,1.9423076923076923,0.15388115733237054,712.0,10400,312,2,1,9,83
3.0,10400.0,78.0,20.0,3.0,78.0,0.0,0.0,2.0,0.0,0.0,0.9487179487179487,0.13520674700143706,732.0,10400,78,2,0,3,20
14.0,10400.0,333.0,108.0,11.0,329.0,0.0,4.0,5.0,0.0,0.0,1.8076923076923077,0.1515891197175834,876.0,10400,333,5,4,11,108
90.0,10400.0,32.0,8.0,1.0,31.0,0.0,1.0,0.0,0.0,0.0,0.875,0.20453527182213543,696.0,10400,32,0,1,1,8
34.0,10400.0,93.0,22.0,2.0,93.0,0.0,0.0,2.0,0.0,0.0,0.956989247311828,0.11932682704958775,856.0,10400,93,2,0,2,22
68.0,10400.0,28.0,12.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.19729845864533413,576.0,10400,28,0,0,0,12
15.0,10400.0,60.0,14.0,2.0,59.0,0.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.14432125704623308,789.0,10400,60,0,1,2,14
27.0,10400.0,139.0,34.0,4.0,138.0,0.0,1.0,2.0,0.0,0.0,1.2115384615384615,0.11487002503615446,732.0,10400,139,2,1,4,34
39.0,10400.0,130.0,34.0,3.0,130.0,0.0,0.0,1.0,0.0,0.0,1.1442307692307692,0.12628596858265984,709.0,10400,130,1,0,3,34
61.0,10400.0,77.0,16.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.948051948051948,0.13317730319450047,724.0,10400,77,0,0,0,16
54.0,10400.0,68.0,15.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.13396491773599062,696.0,10400,68,0,0,1,15
8.0,10400.0,274.0,74.0,8.0,271.0,0.0,3.0,2.0,0.0,0.0,1.6634615384615385,0.1390854697999101,910.0,10400,274,2,3,8,74
42.0,10400.0,244.0,69.0,6.0,243.0,0.0,1.0,4.0,0.0,0.0,1.6826923076923077,0.14859588217067538,789.0,10400,244,4,1,6,69
86.0,10400.0,106.0,33.0,2.0,106.0,0.0,0.0,1.0,0.0,0.0,0.9807692307692307,0.10582437967501356,755.0,10400,106,1,0,2,33
79.0,10400.0,227.0,60.0,5.0,226.0,0.0,1.0,2.0,0.0,0.0,1.6057692307692308,0.16306568066846183,1007.0,10400,227,2,1,5,60
50.0,10400.0,35.0,13.0,1.0,34.0,0.0,1.0,1.0,0.0,0.0,0.8857142857142857,0.16789066355805493,645.0,10400,35,1,1,1,13
35.0,10400.0,64.0,15.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.14239135373697245,684.0,10400,64,0,0,0,15
16.0,10400.0,182.0,61.0,10.0,179.0,0.0,3.0,6.0,0.0,0.0,1.4134615384615385,0.12268055456991225,1045.0,10400,182,6,3,10,61
17.0,10400.0,144.0,33.0,2.0,144.0,0.0,0.0,0.0,0.0,0.0,1.2596153846153846,0.13526396089294224,1058.0,10400,144,0,0,2,33
78.0,10400.0,230.0,66.0,4.0,229.0,0.0,1.0,2.0,0.0,0.0,1.5673076923076923,0.13647954424175876,845.0,10400,230,2,1,4,66
67.0,10400.0,36.0,19.0,2.0,36.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.15825325181732722,690.0,10400,36,1,0,2,19
75.0,10400.0,253.0,69.0,5.0,252.0,0.0,1.0,2.0,0.0,0.0,1.7307692307692308,0.14280789309371983,802.0,10400,253,2,1,5,69
58.0,10400.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20000000000000004,100.0,10400,5,0,0,0,4
28.0,10400.0,71.0,20.0,3.0,71.0,0.0,0.0,1.0,0.0,0.0,0.9436619718309859,0.15781113937784993,948.0,10400,71,1,0,3,20
