run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
4.0,10400.0,6726.0,1764.0,145.0,4226.0,0.0,14.0,49.0,0.0,0.0,1.2596153846153846,0.1345720350558068,3023.0,10400,6726,49,14,145,1764
31.0,10400.0,156.0,55.0,7.0,156.0,0.0,0.0,3.0,0.0,0.0,1.1346153846153846,0.1439971969815853,1644.0,10400,156,3,0,7,55
42.0,10400.0,6774.0,1860.0,139.0,4601.0,0.0,12.0,48.0,0.0,0.0,1.6057692307692308,0.1461596192012614,3022.0,10400,6774,48,12,139,1860
13.0,10400.0,6417.0,1755.0,163.0,4807.0,0.0,24.0,55.0,0.0,0.0,1.7115384615384615,0.16378246841769328,3023.0,10400,6417,55,24,163,1755
90.0,10400.0,6362.0,1466.0,103.0,2833.0,0.0,4.0,33.0,0.0,0.0,0.9807692307692307,0.11910542931276966,3023.0,10400,6362,33,4,103,1466
62.0,10400.0,5432.0,1412.0,125.0,3727.0,0.0,10.0,46.0,0.0,0.0,1.8461538461538463,0.14891268271764344,3023.0,10400,5432,46,10,125,1412
21.0,10400.0,6892.0,1915.0,147.0,5373.0,0.0,14.0,56.0,0.0,0.0,1.7884615384615385,0.1494782292634151,3021.0,10400,6892,56,14,147,1915
68.0,10400.0,6339.0,1632.0,110.0,3960.0,0.0,8.0,36.0,0.0,0.0,1.7019230769230769,0.1451736667576056,3023.0,10400,6339,36,8,110,1632
76.0,10400.0,7287.0,2020.0,192.0,5129.0,0.0,27.0,70.0,0.0,0.0,1.1442307692307692,0.12022684343261986,3023.0,10400,7287,70,27,192,2020
83.0,10400.0,6309.0,1585.0,104.0,3472.0,0.0,5.0,46.0,0.0,0.0,1.7596153846153846,0.14363206582714658,3023.0,10400,6309,46,5,104,1585
44.0,10400.0,6305.0,1593.0,116.0,3542.0,0.0,6.0,44.0,0.0,0.0,1.6153846153846154,0.1312800286127479,3023.0,10400,6305,44,6,116,1593
66.0,10400.0,3849.0,705.0,52.0,1180.0,0.0,2.0,21.0,0.0,0.0,1.0096153846153846,0.11390875269681122,3023.0,10400,3849,21,2,52,705
1.0,10400.0,6305.0,1576.0,126.0,3346.0,0.0,15.0,44.0,0.0,0.0,1.2788461538461537,0.12557316744673078,3023.0,10400,6305,44,15,126,1576
15.0,10400.0,6918.0,1988.0,201.0,5279.0,0.0,29.0,70.0,0.0,0.0,1.8173076923076923,0.1344118540318519,3020.0,10400,6918,70,29,201,1988
95.0,10400.0,6484.0,1812.0,161.0,4817.0,0.0,18.0,64.0,0.0,0.0,1.7211538461538463,0.14425566128242473,3023.0,10400,6484,64,18,161,1812
