run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
22.0,10400.0,8260.0,2388.0,253.0,8197.0,0.0,63.0,107.0,0.0,0.0,2.576923076923077,0.1916343701740937,1914.0,10400,8260,107,63,253,2388
83.0,10400.0,8681.0,2465.0,259.0,8616.0,0.0,65.0,97.0,0.0,0.0,1.7788461538461537,0.15696234901544026,2218.0,10400,8681,97,65,259,2465
36.0,10400.0,8305.0,2551.0,278.0,8240.0,0.0,65.0,101.0,0.0,0.0,2.1346153846153846,0.14720300684933044,2035.0,10400,8305,101,65,278,2551
16.0,10400.0,8514.0,2498.0,260.0,8453.0,0.0,61.0,102.0,0.0,0.0,2.2788461538461537,0.19538014246319357,2068.0,10400,8514,102,61,260,2498
92.0,10400.0,8474.0,2443.0,265.0,8413.0,0.0,61.0,104.0,0.0,0.0,2.25,0.15564436397071257,2161.0,10400,8474,104,61,265,2443
94.0,10400.0,8458.0,2481.0,269.0,8397.0,0.0,57.0,103.0,0.0,0.0,2.0,0.15154174071354537,2729.0,10400,8458,103,57,269,2481
72.0,10400.0,8412.0,2534.0,266.0,8355.0,0.0,57.0,107.0,0.0,0.0,1.9807692307692308,0.14394731918411333,2198.0,10400,8412,107,57,266,2534
23.0,10400.0,8520.0,2499.0,288.0,8459.0,0.0,61.0,107.0,0.0,0.0,2.1538461538461537,0.18115534059246996,2296.0,10400,8520,107,61,288,2499
34.0,10400.0,8470.0,2387.0,264.0,8408.0,0.0,62.0,103.0,0.0,0.0,2.2115384615384617,0.1748108317831446,2082.0,10400,8470,103,62,264,2387
35.0,10400.0,8159.0,2415.0,262.0,8099.0,0.0,58.0,101.0,0.0,0.0,2.5,0.18127422194000778,2199.0,10400,8159,101,58,262,2415
74.0,10400.0,8397.0,2483.0,247.0,8341.0,0.0,56.0,87.0,0.0,0.0,2.480769230769231,0.18634328000829856,2036.0,10400,8397,87,56,247,2483
41.0,10400.0,8124.0,2279.0,236.0,8058.0,0.0,65.0,92.0,0.0,0.0,2.2211538461538463,0.1639440666113848,2144.0,10400,8124,92,65,236,2279
51.0,10400.0,8296.0,2388.0,264.0,8232.0,0.0,63.0,99.0,0.0,0.0,2.480769230769231,0.17867070421157333,2345.0,10400,8296,99,63,264,2388
12.0,10400.0,8214.0,2447.0,249.0,8154.0,0.0,58.0,102.0,0.0,0.0,2.394230769230769,0.1885532500022263,2490.0,10400,8214,102,58,249,2447
32.0,10400.0,8244.0,2422.0,275.0,8176.0,0.0,68.0,108.0,0.0,0.0,2.269230769230769,0.17457446889140804,2002.0,10400,8244,108,68,275,2422
49.0,10400.0,8379.0,2412.0,247.0,8336.0,0.0,43.0,91.0,0.0,0.0,2.1634615384615383,0.15823816252642106,1981.0,10400,8379,91,43,247,2412
13.0,10400.0,8036.0,2293.0,250.0,7981.0,0.0,55.0,83.0,0.0,0.0,2.480769230769231,0.15933767016919034,2043.0,10400,8036,83,55,250,2293
