run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
80.0,10400.0,8568.0,2610.0,277.0,8471.0,0.0,62.0,109.0,0.0,0.0,3.105769230769231,0.19702713465575986,2843.0,10400,8568,109,62,277,2610
78.0,10400.0,8431.0,2434.0,280.0,8347.0,0.0,64.0,113.0,0.0,0.0,2.5865384615384617,0.18515206642203708,2774.0,10400,8431,113,64,280,2434
52.0,10400.0,9317.0,2734.0,350.0,9217.0,0.0,100.0,141.0,0.0,0.0,1.4326923076923077,0.1574419906193382,2100.0,10400,9317,141,100,350,2734
66.0,10400.0,8483.0,2426.0,269.0,8374.0,0.0,64.0,101.0,0.0,0.0,3.0865384615384617,0.20862228864855942,2698.0,10400,8483,101,64,269,2426
22.0,10400.0,8481.0,2474.0,297.0,8362.0,0.0,66.0,115.0,0.0,0.0,3.0576923076923075,0.18169957471401862,2990.0,10400,8481,115,66,297,2474
23.0,10400.0,8593.0,2507.0,319.0,8512.0,0.0,75.0,122.0,0.0,0.0,2.8461538461538463,0.17379115760523675,2710.0,10400,8593,122,75,319,2507
92.0,10400.0,8637.0,2486.0,254.0,8575.0,0.0,55.0,111.0,0.0,0.0,2.8076923076923075,0.2112752113087111,2449.0,10400,8637,111,55,254,2486
93.0,10400.0,8875.0,2641.0,280.0,8792.0,0.0,78.0,108.0,0.0,0.0,2.451923076923077,0.18927547863722594,2328.0,10400,8875,108,78,280,2641
33.0,10400.0,9335.0,2688.0,313.0,9253.0,0.0,80.0,139.0,0.0,0.0,1.1826923076923077,0.1526247962524143,2114.0,10400,9335,139,80,313,2688
90.0,10400.0,8514.0,2599.0,272.0,8431.0,0.0,68.0,101.0,0.0,0.0,2.923076923076923,0.19065759580265715,2461.0,10400,8514,101,68,272,2599
76.0,10400.0,8816.0,2573.0,307.0,8742.0,0.0,71.0,124.0,0.0,0.0,2.701923076923077,0.17809453633072672,2241.0,10400,8816,124,71,307,2573
12.0,10400.0,8668.0,2665.0,295.0,8586.0,0.0,75.0,98.0,0.0,0.0,2.9038461538461537,0.1930065717484612,2488.0,10400,8668,98,75,295,2665
40.0,10400.0,8552.0,2514.0,270.0,8420.0,0.0,72.0,99.0,0.0,0.0,3.144230769230769,0.227586891887458,2929.0,10400,8552,99,72,270,2514
27.0,10400.0,8245.0,2452.0,247.0,8137.0,0.0,52.0,104.0,0.0,0.0,3.0096153846153846,0.1880956767905005,2720.0,10400,8245,104,52,247,2452
57.0,10400.0,8670.0,2568.0,283.0,8591.0,0.0,68.0,110.0,0.0,0.0,2.8173076923076925,0.17907968563809268,2387.0,10400,8670,110,68,283,2568
42.0,10400.0,8851.0,2523.0,276.0,8779.0,0.0,64.0,102.0,0.0,0.0,2.7403846153846154,0.20358768330212149,2538.0,10400,8851,102,64,276,2523
28.0,10400.0,8393.0,2438.0,272.0,8256.0,0.0,52.0,118.0,0.0,0.0,3.0,0.213001593573439,2966.0,10400,8393,118,52,272,2438
95.0,10400.0,8324.0,2505.0,251.0,8240.0,0.0,55.0,118.0,0.0,0.0,2.6826923076923075,0.18141034437560488,2711.0,10400,8324,118,55,251,2505
24.0,10400.0,8597.0,2542.0,265.0,8517.0,0.0,70.0,116.0,0.0,0.0,2.673076923076923,0.17199479151126335,2683.0,10400,8597,116,70,265,2542
18.0,10400.0,8421.0,2397.0,283.0,8330.0,0.0,55.0,108.0,0.0,0.0,2.9423076923076925,0.22025297894535345,3009.0,10400,8421,108,55,283,2397
70.0,10400.0,8523.0,2505.0,309.0,8434.0,0.0,67.0,111.0,0.0,0.0,2.8846153846153846,0.19673762505419853,2572.0,10400,8523,111,67,309,2505
2.0,10400.0,8506.0,2565.0,311.0,8380.0,0.0,66.0,109.0,0.0,0.0,3.0,0.18585129005855777,2916.0,10400,8506,109,66,311,2565
13.0,10400.0,8411.0,2391.0,254.0,8327.0,0.0,61.0,108.0,0.0,0.0,2.980769230769231,0.20540710284626357,2890.0,10400,8411,108,61,254,2391
71.0,10400.0,8766.0,2564.0,282.0,8689.0,0.0,74.0,101.0,0.0,0.0,2.6923076923076925,0.18937267367915947,2189.0,10400,8766,101,74,282,2564
73.0,10400.0,8663.0,2564.0,264.0,8582.0,0.0,76.0,113.0,0.0,0.0,2.798076923076923,0.20874272790896087,2530.0,10400,8663,113,76,264,2564
74.0,10400.0,8323.0,2406.0,243.0,8240.0,0.0,44.0,94.0,0.0,0.0,2.9711538461538463,0.20562330366821802,2720.0,10400,8323,94,44,243,2406
26.0,10400.0,8482.0,2488.0,227.0,8398.0,0.0,53.0,87.0,0.0,0.0,2.9711538461538463,0.21144296506966512,2626.0,10400,8482,87,53,227,2488
20.0,10400.0,8350.0,2386.0,263.0,8225.0,0.0,63.0,99.0,0.0,0.0,2.7211538461538463,0.1794402188824521,3011.0,10400,8350,99,63,263,2386
10.0,10400.0,8692.0,2580.0,297.0,8606.0,0.0,77.0,118.0,0.0,0.0,2.875,0.2006745067390634,2365.0,10400,8692,118,77,297,2580
75.0,10400.0,8439.0,2414.0,258.0,8321.0,0.0,56.0,85.0,0.0,0.0,3.125,0.1973912667097094,2870.0,10400,8439,85,56,258,2414
16.0,10400.0,8802.0,2586.0,286.0,8731.0,0.0,62.0,110.0,0.0,0.0,2.769230769230769,0.17827840775152767,2427.0,10400,8802,110,62,286,2586
43.0,10400.0,8780.0,2588.0,305.0,8716.0,0.0,59.0,111.0,0.0,0.0,2.625,0.1899193551583907,2255.0,10400,8780,111,59,305,2588
34.0,10400.0,8386.0,2487.0,278.0,8263.0,0.0,70.0,88.0,0.0,0.0,2.701923076923077,0.1902593488061052,2718.0,10400,8386,88,70,278,2487
3.0,10400.0,8624.0,2469.0,262.0,8545.0,0.0,67.0,96.0,0.0,0.0,2.7884615384615383,0.1916250018198473,2470.0,10400,8624,96,67,262,2469
83.0,10400.0,8567.0,2568.0,265.0,8491.0,0.0,62.0,95.0,0.0,0.0,2.5288461538461537,0.18881965563527903,2610.0,10400,8567,95,62,265,2568
82.0,10400.0,9062.0,2648.0,293.0,8998.0,0.0,64.0,122.0,0.0,0.0,2.269230769230769,0.18344006008579766,2075.0,10400,9062,122,64,293,2648
1.0,10400.0,8598.0,2519.0,281.0,8515.0,0.0,74.0,121.0,0.0,0.0,2.6538461538461537,0.1785601437562236,2364.0,10400,8598,121,74,281,2519
21.0,10400.0,8679.0,2566.0,311.0,8583.0,0.0,87.0,122.0,0.0,0.0,2.7115384615384617,0.19548348600724658,2517.0,10400,8679,122,87,311,2566
67.0,10400.0,8596.0,2478.0,266.0,8531.0,0.0,56.0,91.0,0.0,0.0,2.7403846153846154,0.2121211169182856,2563.0,10400,8596,91,56,266,2478
45.0,10400.0,8493.0,2544.0,286.0,8391.0,0.0,74.0,102.0,0.0,0.0,2.6826923076923075,0.19671709245880223,3021.0,10400,8493,102,74,286,2544
