run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
24.0,10400.0,7870.0,2266.0,207.0,7835.0,0.0,35.0,100.0,0.0,0.0,2.6634615384615383,0.19012720130010738,1775.0,10400,7870,100,35,207,2266
19.0,10400.0,7803.0,2278.0,202.0,7762.0,0.0,41.0,79.0,0.0,0.0,3.019230769230769,0.19941136736323756,1573.0,10400,7803,79,41,202,2278
36.0,10400.0,8200.0,2360.0,235.0,8157.0,0.0,43.0,88.0,0.0,0.0,3.2788461538461537,0.21232414010711037,1900.0,10400,8200,88,43,235,2360
50.0,10400.0,7775.0,2264.0,248.0,7701.0,0.0,46.0,110.0,0.0,0.0,2.5288461538461537,0.17865814396915453,2983.0,10400,7775,110,46,248,2264
0.0,10400.0,7740.0,2272.0,203.0,7669.0,0.0,35.0,79.0,0.0,0.0,2.7788461538461537,0.18380913301673615,3013.0,10400,7740,79,35,203,2272
85.0,10400.0,7940.0,2356.0,223.0,7897.0,0.0,43.0,102.0,0.0,0.0,3.048076923076923,0.20006524686846142,1658.0,10400,7940,102,43,223,2356
82.0,10400.0,8057.0,2377.0,215.0,8014.0,0.0,43.0,79.0,0.0,0.0,2.9326923076923075,0.20869111959420736,1490.0,10400,8057,79,43,215,2377
41.0,10400.0,7613.0,2198.0,226.0,7575.0,0.0,38.0,93.0,0.0,0.0,2.673076923076923,0.19489484520986652,2499.0,10400,7613,93,38,226,2198
58.0,10400.0,7779.0,2241.0,228.0,7747.0,0.0,32.0,89.0,0.0,0.0,2.8173076923076925,0.22854722821757825,1321.0,10400,7779,89,32,228,2241
94.0,10400.0,7657.0,2211.0,224.0,7604.0,0.0,51.0,96.0,0.0,0.0,2.6826923076923075,0.20047759586680458,2747.0,10400,7657,96,51,224,2211
95.0,10400.0,7640.0,2238.0,204.0,7602.0,0.0,35.0,87.0,0.0,0.0,3.201923076923077,0.20284561121418196,2631.0,10400,7640,87,35,204,2238
64.0,10400.0,7537.0,2204.0,212.0,7475.0,0.0,30.0,91.0,0.0,0.0,2.6634615384615383,0.20750058572808305,2940.0,10400,7537,91,30,212,2204
74.0,10400.0,7962.0,2357.0,208.0,7929.0,0.0,33.0,55.0,0.0,0.0,3.0384615384615383,0.1883079192840817,1577.0,10400,7962,55,33,208,2357
68.0,10400.0,7583.0,2263.0,194.0,7540.0,0.0,27.0,68.0,0.0,0.0,2.855769230769231,0.1885532500022262,3023.0,10400,7583,68,27,194,2263
54.0,10400.0,7648.0,2224.0,200.0,7591.0,0.0,45.0,68.0,0.0,0.0,2.5096153846153846,0.1722946181893098,2831.0,10400,7648,68,45,200,2224
42.0,10400.0,7755.0,2247.0,225.0,7714.0,0.0,41.0,87.0,0.0,0.0,2.7884615384615383,0.1964362652269625,1682.0,10400,7755,87,41,225,2247
13.0,10400.0,8283.0,2382.0,216.0,8241.0,0.0,42.0,80.0,0.0,0.0,3.2211538461538463,0.2085534349859572,1582.0,10400,8283,80,42,216,2382
46.0,10400.0,7728.0,2197.0,196.0,7698.0,0.0,30.0,82.0,0.0,0.0,2.75,0.17907216681009985,1870.0,10400,7728,82,30,196,2197
52.0,10400.0,7732.0,2267.0,185.0,7704.0,0.0,23.0,64.0,0.0,0.0,2.7403846153846154,0.2003521881852608,2751.0,10400,7732,64,23,185,2267
33.0,10400.0,7458.0,2109.0,210.0,7425.0,0.0,32.0,76.0,0.0,0.0,2.9711538461538463,0.19869661685756138,2240.0,10400,7458,76,32,210,2109
16.0,10400.0,7849.0,2283.0,233.0,7813.0,0.0,36.0,99.0,0.0,0.0,3.048076923076923,0.202845611214182,1385.0,10400,7849,99,36,233,2283
67.0,10400.0,8248.0,2347.0,230.0,8188.0,0.0,44.0,99.0,0.0,0.0,2.548076923076923,0.18579090755913805,2906.0,10400,8248,99,44,230,2347
66.0,10400.0,7829.0,2241.0,209.0,7727.0,0.0,41.0,81.0,0.0,0.0,2.8846153846153846,0.1962625451138864,3018.0,10400,7829,81,41,209,2241
6.0,10400.0,7957.0,2300.0,212.0,7880.0,0.0,35.0,76.0,0.0,0.0,2.6826923076923075,0.20598967064677562,3009.0,10400,7957,76,35,212,2300
45.0,10400.0,7958.0,2301.0,243.0,7905.0,0.0,53.0,88.0,0.0,0.0,3.0865384615384617,0.23592198212769397,1710.0,10400,7958,88,53,243,2301
53.0,10400.0,7685.0,2238.0,221.0,7645.0,0.0,40.0,89.0,0.0,0.0,2.605769230769231,0.19536176455439677,1597.0,10400,7685,89,40,221,2238
79.0,10400.0,7651.0,2278.0,195.0,7517.0,0.0,39.0,79.0,0.0,0.0,2.701923076923077,0.18828646743347954,3010.0,10400,7651,79,39,195,2278
14.0,10400.0,7785.0,2276.0,236.0,7660.0,0.0,33.0,97.0,0.0,0.0,2.4038461538461537,0.1704008534400725,3021.0,10400,7785,97,33,236,2276
21.0,10400.0,7901.0,2266.0,231.0,7856.0,0.0,45.0,101.0,0.0,0.0,3.125,0.21461164710689815,1360.0,10400,7901,101,45,231,2266
70.0,10400.0,8147.0,2371.0,210.0,8038.0,0.0,48.0,89.0,0.0,0.0,2.605769230769231,0.20560584133798815,2973.0,10400,8147,89,48,210,2371
44.0,10400.0,7628.0,2219.0,190.0,7594.0,0.0,34.0,74.0,0.0,0.0,3.25,0.21289199665670377,1557.0,10400,7628,74,34,190,2219
43.0,10400.0,7830.0,2344.0,229.0,7788.0,0.0,42.0,99.0,0.0,0.0,2.9134615384615383,0.21952430789235067,1508.0,10400,7830,99,42,229,2344
5.0,10400.0,7714.0,2192.0,217.0,7675.0,0.0,39.0,101.0,0.0,0.0,2.8076923076923075,0.1999238667065236,2340.0,10400,7714,101,39,217,2192
4.0,10400.0,7825.0,2207.0,186.0,7766.0,0.0,34.0,67.0,0.0,0.0,3.0096153846153846,0.21582950092710448,2856.0,10400,7825,67,34,186,2207
73.0,10400.0,8577.0,2496.0,272.0,8529.0,0.0,48.0,104.0,0.0,0.0,3.144230769230769,0.21837639619816765,1183.0,10400,8577,104,48,272,2496
20.0,10400.0,7488.0,2121.0,221.0,7437.0,0.0,45.0,89.0,0.0,0.0,2.980769230769231,0.21603942657987718,2712.0,10400,7488,89,45,221,2121
60.0,10400.0,7415.0,2176.0,207.0,7364.0,0.0,35.0,88.0,0.0,0.0,2.8173076923076925,0.18472494493025368,2961.0,10400,7415,88,35,207,2176
56.0,10400.0,7693.0,2216.0,220.0,7654.0,0.0,38.0,88.0,0.0,0.0,2.855769230769231,0.20875992784537145,2338.0,10400,7693,88,38,220,2216
91.0,10400.0,7528.0,2172.0,208.0,7498.0,0.0,30.0,79.0,0.0,0.0,3.2211538461538463,0.21122209692349547,1751.0,10400,7528,79,30,208,2172
28.0,10400.0,7928.0,2291.0,224.0,7815.0,0.0,47.0,78.0,0.0,0.0,2.4903846153846154,0.17815500814809337,3014.0,10400,7928,78,47,224,2291
57.0,10400.0,7518.0,2155.0,213.0,7483.0,0.0,31.0,80.0,0.0,0.0,2.8076923076923075,0.20499591203274037,2687.0,10400,7518,80,31,213,2155
