run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
34.0,10400.0,8772.0,2568.0,274.0,8706.0,0.0,66.0,104.0,0.0,0.0,2.3653846153846154,0.18130393009709017,1679.0,10400,8772,104,66,274,2568
86.0,10400.0,8690.0,2541.0,277.0,8615.0,0.0,75.0,99.0,0.0,0.0,2.201923076923077,0.16811779700321297,1658.0,10400,8690,99,75,277,2541
12.0,10400.0,8789.0,2653.0,278.0,8720.0,0.0,69.0,100.0,0.0,0.0,2.25,0.18062934539609715,1729.0,10400,8789,100,69,278,2653
79.0,10400.0,8773.0,2619.0,306.0,8702.0,0.0,71.0,113.0,0.0,0.0,2.1634615384615383,0.18133115829871774,1718.0,10400,8773,113,71,306,2619
89.0,10400.0,8748.0,2580.0,267.0,8681.0,0.0,67.0,87.0,0.0,0.0,2.105769230769231,0.1563435047961012,1637.0,10400,8748,87,67,267,2580
38.0,10400.0,8793.0,2566.0,290.0,8718.0,0.0,75.0,106.0,0.0,0.0,2.644230769230769,0.18328095881418743,1826.0,10400,8793,106,75,290,2566
81.0,10400.0,8753.0,2629.0,307.0,8691.0,0.0,62.0,108.0,0.0,0.0,2.1634615384615383,0.16685296982831826,1887.0,10400,8753,108,62,307,2629
37.0,10400.0,8777.0,2492.0,300.0,8702.0,0.0,75.0,121.0,0.0,0.0,2.326923076923077,0.19441526224036973,1875.0,10400,8777,121,75,300,2492
71.0,10400.0,8758.0,2529.0,268.0,8703.0,0.0,55.0,106.0,0.0,0.0,2.6826923076923075,0.19432982781476035,1583.0,10400,8758,106,55,268,2529
68.0,10400.0,8709.0,2524.0,273.0,8634.0,0.0,75.0,102.0,0.0,0.0,2.0576923076923075,0.15266301971066065,1699.0,10400,8709,102,75,273,2524
8.0,10400.0,8733.0,2564.0,295.0,8674.0,0.0,59.0,104.0,0.0,0.0,2.480769230769231,0.17867070421157333,1614.0,10400,8733,104,59,295,2564
43.0,10400.0,8673.0,2604.0,282.0,8616.0,0.0,57.0,102.0,0.0,0.0,2.326923076923077,0.1778650605887793,1556.0,10400,8673,102,57,282,2604
95.0,10400.0,8815.0,2541.0,284.0,8746.0,0.0,69.0,119.0,0.0,0.0,2.25,0.162107802116662,1795.0,10400,8815,119,69,284,2541
74.0,10400.0,8759.0,2588.0,321.0,8688.0,0.0,71.0,115.0,0.0,0.0,2.25,0.17216171601155936,1841.0,10400,8759,115,71,321,2588
21.0,10400.0,8679.0,2545.0,289.0,8615.0,0.0,64.0,112.0,0.0,0.0,2.5,0.17445102199166326,2009.0,10400,8679,112,64,289,2545
63.0,10400.0,8755.0,2553.0,262.0,8695.0,0.0,60.0,108.0,0.0,0.0,1.875,0.14047257007150685,1862.0,10400,8755,108,60,262,2553
83.0,10400.0,8778.0,2572.0,294.0,8696.0,0.0,82.0,126.0,0.0,0.0,2.173076923076923,0.17733942957183554,2024.0,10400,8778,126,82,294,2572
48.0,10400.0,8663.0,2517.0,252.0,8599.0,0.0,64.0,94.0,0.0,0.0,2.355769230769231,0.18071628973868778,1711.0,10400,8663,94,64,252,2517
6.0,10400.0,8658.0,2580.0,305.0,8585.0,0.0,73.0,107.0,0.0,0.0,2.2596153846153846,0.15698522232227816,1779.0,10400,8658,107,73,305,2580
52.0,10400.0,8745.0,2496.0,267.0,8666.0,0.0,79.0,97.0,0.0,0.0,2.5961538461538463,0.19825566375097853,1762.0,10400,8745,97,79,267,2496
11.0,10400.0,8776.0,2612.0,283.0,8690.0,0.0,85.0,121.0,0.0,0.0,2.1153846153846154,0.15776378641942637,1976.0,10400,8776,121,85,283,2612
91.0,10400.0,8709.0,2492.0,262.0,8643.0,0.0,66.0,98.0,0.0,0.0,2.3461538461538463,0.15979894876724168,1793.0,10400,8709,98,66,262,2492
62.0,10400.0,8673.0,2633.0,293.0,8607.0,0.0,66.0,113.0,0.0,0.0,2.269230769230769,0.175108399815952,2062.0,10400,8673,113,66,293,2633
59.0,10400.0,8748.0,2613.0,321.0,8676.0,0.0,72.0,140.0,0.0,0.0,1.9807692307692308,0.1551823045751124,2005.0,10400,8748,140,72,321,2613
39.0,10400.0,8791.0,2558.0,264.0,8715.0,0.0,76.0,96.0,0.0,0.0,2.298076923076923,0.1678399249896177,1618.0,10400,8791,96,76,264,2558
28.0,10400.0,8766.0,2544.0,284.0,8701.0,0.0,65.0,118.0,0.0,0.0,2.2596153846153846,0.16566519697379634,1888.0,10400,8766,118,65,284,2544
23.0,10400.0,8719.0,2509.0,280.0,8647.0,0.0,72.0,106.0,0.0,0.0,2.3653846153846154,0.16400154618873283,1732.0,10400,8719,106,72,280,2509
73.0,10400.0,8809.0,2526.0,286.0,8733.0,0.0,76.0,101.0,0.0,0.0,2.0576923076923075,0.1444950280153547,1955.0,10400,8809,101,76,286,2526
60.0,10400.0,8810.0,2723.0,308.0,8735.0,0.0,75.0,113.0,0.0,0.0,2.3653846153846154,0.1833519595155585,1892.0,10400,8810,113,75,308,2723
17.0,10400.0,8662.0,2537.0,260.0,8604.0,0.0,58.0,106.0,0.0,0.0,2.625,0.1657735279953284,1670.0,10400,8662,106,58,260,2537
84.0,10400.0,8783.0,2625.0,330.0,8703.0,0.0,80.0,128.0,0.0,0.0,2.4903846153846154,0.17283559226729361,1759.0,10400,8783,128,80,330,2625
26.0,10400.0,8780.0,2530.0,310.0,8708.0,0.0,72.0,119.0,0.0,0.0,2.144230769230769,0.15959378818598208,1689.0,10400,8780,119,72,310,2530
92.0,10400.0,8768.0,2494.0,310.0,8702.0,0.0,66.0,126.0,0.0,0.0,1.9326923076923077,0.17298095007340503,1885.0,10400,8768,126,66,310,2494
